"Intention to buy [2A]","Intention to buy [2B]","Intention to buy [2C]"
"Certainly would buy","Certainly would buy",
"Probably would buy","Probably would buy","Certainly would buy"
"Probably would buy","Probably would not buy","Probably would not buy"
"Probably would not buy","Maybe would buy","Maybe would buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Maybe would buy","Probably would not buy","Probably would buy"
"Certainly would not buy","Maybe would buy","Maybe would buy"
"Probably would not buy","Maybe would buy","Maybe would buy"
"Probably would buy","Probably would buy","Maybe would buy"
"Probably would not buy","Certainly would not buy","Certainly would not buy"
"Maybe would buy","Probably would not buy","Probably would not buy"
"Probably would buy","Maybe would buy","Certainly would buy"
"Maybe would buy","Maybe would buy","Maybe would buy"
"Probably would buy","Probably would buy","Probably would buy"
"Maybe would buy","Maybe would buy","Probably would buy"
"Probably would buy","Probably would buy","Probably would buy"
"Certainly would buy","Certainly would buy","Certainly would buy"
"Probably would buy","Probably would buy","Maybe would buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Probably would not buy","Probably would buy","Probably would buy"
"Probably would not buy","Probably would not buy","Probably would not buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Probably would buy","Probably would buy","Probably would buy"
"Probably would not buy","Certainly would buy","Maybe would buy"
"Probably would buy","Probably would not buy","Probably would not buy"
"Maybe would buy","Maybe would buy","Probably would not buy"
"Probably would not buy","Probably would not buy","Probably would not buy"
"Probably would buy","Certainly would buy","Maybe would buy"
"Certainly would buy","Maybe would buy","Certainly would buy"
"Maybe would buy","Maybe would buy","Probably would buy"
"Probably would buy","Probably would buy","Probably would buy"
"Maybe would buy","Probably would buy","Maybe would buy"
"Certainly would not buy","Certainly would not buy","Maybe would buy"
"Certainly would not buy","Probably would not buy","Certainly would not buy"
"Maybe would buy","Probably would not buy","Probably would not buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Maybe would buy","Probably would not buy","Probably would buy"
"Maybe would buy","Probably would not buy","Probably would not buy"
"Certainly would not buy",,
"Maybe would buy","Probably would not buy","Probably would not buy"
