"Informazioni cronologiche","Define your gender","In wich range is your age?","What's your nationality?","How do you classify your diet?","Do you eat plant-based burgers?","Do you like what you see?","Sample 1A [Smell]","Sample 1A [Taste]","Sample 1A [Texture]","Sample 1B [Smell]","Sample 1B [Taste]","Sample 1B [Texture]","Which one do you prefer?","Intention to buy [1A]","Intention to buy [1B]","Do you like what you see? ","Sample 2A [Smell]","Sample 2A [Taste]","Sample 2A [Texture]","Sample 2B [Smell]","Sample 2B [Taste]","Sample 2B [Texture]","Sample 2C [Smell]","Sample 2C [Taste]","Sample 2C [Texture]","Which one do you prefer?","Intention to buy [2A]","Intention to buy [2B]","Intention to buy [2C]","Do you like what you see? ","Sample 3A [Smell]","Sample 3A [Taste]","Sample 3A [Texture]","Sample 3B [Smell]","Sample 3B [Taste]","Sample 3B [Texture]","Sample 3C [Smell]","Sample 3C [Taste]","Sample 3C [Texture]","Which one do you prefer?","Intention to buy [3A]","Intention to buy [3B]","Intention to buy [3C]","Please indicate here the code of your preferred burger","Do you have some comments/suggestions? Please feel free to write here :)
"
"2023/09/27 11:06:19 AM EEST","Female","25-35","Br","Vegetarian","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","1A","Probably would buy","Probably would buy","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Neutral","Neutral","Neutral","2A","Certainly would buy","Certainly would buy","","Yes","Very pleasant","Very pleasant","Very pleasant","Neutral","Neutral","Neutral","Very pleasant","Very pleasant","Very pleasant","3B","Probably would buy","Probably would buy","Probably would buy","H","H"
"2023/09/27 11:56:44 AM EEST","Male","25-35","Portuguese","Vegetarian","Yes","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","1B","Probably would not buy","Probably would buy","Yes","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","Very pleasant","2C","Probably would buy","Probably would buy","Certainly would buy","Yes","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","3C","Probably would buy","Probably would buy","Certainly would buy","2C","Great work! Amazing improvements."
"2023/09/27 11:57:58 AM EEST","Female","18-24","Belgian","Omnivore or other","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","1A","Probably would buy","Probably would buy","No","Neutral","Very pleasant","","Unpleasant","Neutral","Very pleasant","Unpleasant","Unpleasant","Very pleasant","2A","Probably would buy","Probably would not buy","Probably would not buy","Yes","Pleasant","Pleasant","Very pleasant","Unpleasant","Pleasant","Very pleasant","Unpleasant","","Unpleasant","3A","Probably would buy","Probably would buy","Maybe would buy","1A",""
"2023/09/27 12:12:24 PM EEST","Male","25-35","Spanish","Omnivore or other","Yes","Yes","Neutral","Pleasant","Pleasant","Neutral","","","1B","Maybe would buy","Maybe would buy","Yes","Neutral","Unpleasant","Neutral","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","2C","Probably would not buy","Maybe would buy","Maybe would buy","Yes","Pleasant","Pleasant","Pleasant","Neutral","Pleasant","Pleasant","Neutral","Pleasant","Pleasant","3C","Maybe would buy","Maybe would buy","Maybe would buy","3C",""
"2023/09/27 12:13:37 PM EEST","Male","25-35","Portuguese","Omnivore or other","No","Yes","Very pleasant","Pleasant","Very pleasant","Neutral","Pleasant","Pleasant","1A","Probably would buy","Probably would not buy","Yes","Pleasant","Unpleasant","Pleasant","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Pleasant","2C","Probably would not buy","Probably would not buy","Maybe would buy","Yes","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Very pleasant","Pleasant","Very pleasant","Very pleasant","3A","Certainly would buy","Certainly would buy","Certainly would buy","3A","Wonderful burgers, loved the curry ones"
"2023/09/27 12:14:32 PM EEST","Male","25-35","Portuguese","Omnivore or other","No","No","Neutral","Pleasant","Very pleasant","Neutral","Pleasant","Pleasant","1A","Probably would buy","Maybe would buy","No","Neutral","Unpleasant","Neutral","Pleasant","Pleasant","Neutral","Neutral","Pleasant","Pleasant","2C","Probably would not buy","Probably would not buy","Maybe would buy","No","Unpleasant","Pleasant","Neutral","Pleasant","Neutral","Pleasant","Neutral","Pleasant","Pleasant","3C","Probably would not buy","Probably would not buy","Maybe would buy","1A",""
"2023/09/27 12:15:23 PM EEST","Male","25-35","Portuguese","Omnivore or other","Yes","Neutral","Pleasant","Unpleasant","Very unpleasant","Neutral","Neutral","Very unpleasant","1B","Certainly would not buy","Probably would not buy","Neutral","Very pleasant","Neutral","Pleasant","Pleasant","Neutral","Neutral","Very pleasant","Pleasant","Pleasant","2C","Maybe would buy","Probably would not buy","Probably would buy","Neutral","Neutral","Unpleasant","Unpleasant","Neutral","Neutral","Neutral","Neutral","Pleasant","Pleasant","3C","Certainly would not buy","Certainly would not buy","Maybe would buy","2C","Some of the burgers taste is overpowered by the flour or smthng like that"
"2023/09/27 12:18:27 PM EEST","Male","25-35","Portuguese ","Omnivore or other","No","Neutral","Neutral","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","1B","Probably would not buy","Maybe would buy","No","Neutral","Unpleasant","Unpleasant","Neutral","Neutral","Unpleasant","Neutral","Neutral","Unpleasant","2B","Certainly would not buy","Maybe would buy","Maybe would buy","Yes","Pleasant","Unpleasant","Unpleasant","Pleasant","Unpleasant","Unpleasant","Pleasant","Pleasant","Neutral","3C","Probably would not buy","Probably would not buy","Maybe would buy","1B","The textura of the burguers could be improved. It is kind of weird when you are eat them. It seems the burguers sticks to the teeth."
"2023/09/27 12:29:39 PM EEST","Male","25-35","Portuguese","Omnivore or other","No","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Neutral","Pleasant","1A","Probably would buy","Maybe would buy","No","Neutral","Neutral","Neutral","Neutral","Pleasant","Neutral","Pleasant","Neutral","Neutral","2B","Probably would not buy","Maybe would buy","Maybe would buy","Yes","Unpleasant","Neutral","Pleasant","Unpleasant","Unpleasant","Neutral","Neutral","Neutral","Pleasant","3C","Probably would not buy","Probably would not buy","Maybe would buy","1A",""
"2023/09/27 12:33:53 PM EEST","Female","25-35","Brasil","Vegetarian","Yes","Yes","Very pleasant","Very pleasant","Very pleasant","Neutral","Very pleasant","Very pleasant","1A","Certainly would buy","Certainly would buy","Yes","Pleasant","Very pleasant","Very pleasant","Neutral","Pleasant","Pleasant","Pleasant","Pleasant","Neutral","2A","Probably would buy","Probably would buy","Maybe would buy","Yes","Neutral","Pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","Pleasant","Very pleasant","Pleasant","3B","Probably would buy","Probably would buy","Probably would buy","1a","Spirulina high % very soft/gummy but the flavor are not so intense, they are very.chlorella texture not very good. "
