"Intention to buy [3A]","Intention to buy [3B]","Intention to buy [3C]"
"Probably would buy","Probably would buy","Probably would buy"
"Probably would buy","Probably would buy","Certainly would buy"
"Probably would buy","Probably would buy","Maybe would buy"
"Maybe would buy","Maybe would buy","Maybe would buy"
"Certainly would buy","Certainly would buy","Certainly would buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Certainly would not buy","Certainly would not buy","Maybe would buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Probably would buy","Probably would buy","Probably would buy"
"Probably would buy","Certainly would buy","Maybe would buy"
"Probably would buy","Maybe would buy","Probably would buy"
"Certainly would buy","Certainly would buy","Maybe would buy"
"Maybe would buy","Probably would buy","Probably would buy"
"Maybe would buy","Maybe would buy","Maybe would buy"
"Probably would not buy","Probably would not buy","Maybe would buy"
"Maybe would buy","Maybe would buy","Maybe would buy"
"Maybe would buy","Probably would buy","Probably would buy"
"Probably would not buy","Probably would not buy","Certainly would buy"
"Certainly would not buy","Certainly would not buy","Probably would not buy"
"Maybe would buy","Probably would buy","Maybe would buy"
"Maybe would buy","Probably would not buy","Maybe would buy"
"Maybe would buy","Probably would buy","Probably would buy"
"Certainly would buy","Certainly would buy","Certainly would buy"
"Maybe would buy","Probably would buy","Maybe would buy"
"Maybe would buy","Probably would not buy","Probably would not buy"
"Probably would buy","Probably would buy","Probably would not buy"
"Maybe would buy","Maybe would buy","Maybe would buy"
"Probably would buy","Certainly would buy","Certainly would buy"
"Certainly would buy","Probably would buy","Probably would buy"
"Probably would not buy","Maybe would buy","Maybe would buy"
"Certainly would buy","Probably would buy","Certainly would buy"
"Maybe would buy","Maybe would buy","Probably would buy"
"Probably would not buy","Certainly would buy","Probably would buy"
"Certainly would not buy","Certainly would not buy","Probably would not buy"
"Certainly would not buy","Certainly would not buy","Probably would not buy"
"Probably would buy","Probably would buy","Certainly would buy"
"Probably would not buy","Maybe would buy","Certainly would buy"
"Certainly would buy","Certainly would buy","Certainly would buy"
"Maybe would buy","Maybe would buy","Certainly would not buy"
"Certainly would buy","Certainly would buy","Certainly would buy"
